Symbol,Name,Last,Change,%Chg,Volume,"Price Vol",Time
AAPL,"Apple Inc",279.44,-0.58,-0.21%,69020797,19287171.51368,12/20/19
AMZN,"Amazon.com Inc",1786.5,-5.78,-0.32%,5151900,9203869.35,12/20/19
MSFT,"Microsoft Corp",157.41,1.7,+1.09%,53593902,8436216.11382,12/20/19
TSLA,"Tesla Inc",405.59,1.55,+0.38%,14781301,5995147.87259,12/20/19
BABA,"Alibaba Group Holding",212.25,2.12,+1.01%,26672299,5661195.46275,12/20/19
FB,"Facebook Inc",206.3,0.24,+0.12%,27310201,5634094.4663,12/20/19
GOOG,"Alphabet Cl C",1349.59,-6.45,-0.48%,3316900,4476455.071,12/20/19
JPM,"JP Morgan Chase & Company",137.24,-0.11,-0.08%,29992699,4116198.01076,12/20/19
BAC,"Bank of America Corp",34.96,0.01,+0.03%,109398898,3824585.47408,12/20/19
NVDA,"Nvidia Corp",239.37,3.91,+1.66%,15081400,3610034.718,12/20/19
WFC,"Wells Fargo & Company",53.33,-0.3,-0.56%,66323094,3537010.60302,12/20/19
GOOGL,"Alphabet Cl A",1351.22,-5.22,-0.38%,2513800,3396696.836,12/20/19
NFLX,"Netflix Inc",336.9,4.68,+1.41%,9921600,3342587.04,12/20/19
BA,"Boeing Company",328,-5.5,-1.65%,9492400,3113507.2,12/20/19
AMD,"Adv Micro Devices",44.15,1.32,+3.08%,68199508,3011008.2782,12/20/19
DHR,"Danaher Corp",152.85,2.41,+1.60%,19635400,3001270.89,12/20/19
INTC,"Intel Corp",58.95,0.99,+1.71%,49969500,2945702.025,12/20/19
ZBRA,"Zebra Technologies",252.49,-0.64,-0.25%,11578600,2923480.714,12/20/19
UBER,"Uber Technologies Inc",30.45,0.46,+1.53%,95458703,2906717.50635,12/20/19
VZ,"Verizon Communications Inc",62.07,1.27,+2.09%,42978098,2667650.54286,12/20/19
BRK.B,"Berkshire Hathaway Cl B",226.31,1.1,+0.49%,11574200,2619357.202,12/20/19
C,"Citigroup Inc",78.51,0.31,+0.40%,32019301,2513835.32151,12/20/19
CSCO,"Cisco Systems Inc",47.45,-0.43,-0.90%,52582297,2495029.99265,12/20/19
