Symbol,Name,Stock_Price,Change,Pc_change,High,Low,Volume
GE,General Electric Company,12.12,0.45,3.86%,12.15,11.68,66209594
F,Ford Motor Company,9.24,-0.01,-0.11%,9.26,9.11,48562098
BAC,Bank of America Corp,35.06,0.32,0.92%,35.07,34.66,38015898
ITUB,Itau Unibanco Banco Holding S.A.,8.47,0.02,0.24%,8.54,8.41,35640801
AMD,Adv Micro Devices,48.74,0.58,1.20%,48.86,48.24,34474699
T,AT&T Inc,38.1,-0.47,-1.22%,38.55,38.02,33073699
AAPL,Apple Inc,316.96,6.63,2.14%,317.07,311.15,30521699
NOK,Nokia Corp,4.06,0.04,1.00%,4.11,4.05,29873000
BYND,Beyond Meat Inc,114.34,18.27,19.02%,115.5,98.8,29836201
FCX,Freeport-Mcmoran Inc,13.53,0.63,4.88%,13.64,12.95,28783701
TSLA,Tesla Inc,524.86,46.71,9.77%,525.63,492,26634502
VALE,Vale S.A.,13.32,0.35,2.70%,13.4,12.95,26080299
NLOK,Nortonlifelock Inc.,26.6,0.11,0.42%,26.82,26.21,25270000
WFC,Wells Fargo & Company,52.11,-0.39,-0.74%,52.5,51.83,25207400
ABEV,Ambev S.A.,4.6,-0.01,-0.22%,4.66,4.54,24071400
SNAP,Snap Inc,18,0.59,3.39%,18,17.3,22446600
CMCSA,Comcast Corp A,45.8,0.82,1.82%,45.87,44.9,21789498
MSFT,Microsoft Corp,163.28,1.94,1.20%,163.31,161.26,21637000
JD,Jd.com Inc Ads,40.31,1.2,3.07%,40.99,39.63,20849699
BMY,Bristol-Myers Squibb Company,66.15,0.92,1.41%,66.99,65.37,19246201
PBR,Petroleo Brasileiro S.A. Petrobras,15.48,-0.16,-1.02%,15.59,15.39,19181799
ROKU,Roku Inc,133.93,5.53,4.31%,135,126.3,18471199
CGC,Canopy Growth Corp,23.11,2.57,12.51%,23.2,20.14,18368699
ECA,Encana Corp,4.35,0,0.00%,4.35,4.21,18306201
TME,Tencent Music Entertainment Group ADR,14,0.51,3.78%,14.2,13.9,18295701
CSCO,Cisco Systems Inc,47.97,0.84,1.78%,47.98,47.3,18243199
BABA,Alibaba Group Holding,230.48,6.65,2.97%,231.14,227.04,17571801
LK,Luckin Coffee Inc ADR,45.9,2.58,5.96%,47.66,44.1,17194301
UBER,Uber Technologies Inc,34.14,0.13,0.38%,34.34,33.55,16833100
FIVE,Five Below Inc,107.46,-13.77,-11.36%,108.16,95.52,16791500
