Symbol,Name,Stock_Price,Change,Pc_change,High,Low,Volume
ADAP,Adaptimmune Ther Ads,3.99,2.66,200.00%,5.84,2.1,56072402
CPAH,Counterpath Corp,3.37,-0.55,-14.03%,6,3.17,19387701
SSI,Stage Stores,3.15,-4.17,-56.97%,3.86,2.87,13091700
TRIL,Trillium Therapeutic,2.69,-0.06,-2.18%,3.32,2.41,7421800
PRTY,Party City Holdco Inc,2.64,0.01,0.38%,2.8,2.56,6370500
MBOT,Microbot Medical Inc,12.48,-0.69,-5.24%,15.75,12.25,6242700
VRNA,Verona Pharma Plc ADR,7.23,1.27,21.31%,8.39,6.82,4536100
SAVA,Cassava Sciences Inc,6.99,-1.16,-14.23%,7.98,6.8,4253100
PTI,Proteostasis Ther,2.04,0.15,7.94%,2.12,1.95,4118300
AQST,Aquestive Therapeutics Inc,4.36,-2.25,-34.04%,5.72,4.3,4037900
LJPC,LA Jolla Pharma,7,1,16.67%,7.08,6,3672500
NLS,Nautilus Group,3.39,0.17,5.28%,3.66,3.04,2910500
ACOR,Acorda Therapeutics,2.42,0.06,2.54%,2.54,2.32,2577300
CYCN,Cyclerion Therapeutics Inc,3.76,0.35,10.26%,4.05,3.03,2331800
AGRX,Agile Therap,2.94,-0.01,-0.34%,3.02,2.87,1876400
ONCY,Oncolytics Biotech Inc,3.51,-0.45,-11.36%,4.1,3.38,1876400
ABEO,Abeona Therapeutics,2.36,-0.18,-7.09%,2.63,2.34,1838300
TLRD,Tailored Brands Inc,4.2,-0.01,-0.24%,4.32,4.14,1816100
NVAX,Novavax Inc,3.95,0.02,0.51%,4,3.65,1771300
DEAC,Diamond Eagle Acquisition Cl A,12,-0.39,-3.15%,12.64,11.55,1674000
ASLN,Aslan Pharmaceuticals Ltd ADR,2.55,0.19,8.05%,2.8,2.39,1627300
INPX,Inpixon,3.65,-0.4,-9.88%,4.03,3.5,1539400
PRTK,Paratek Pharma Inc,3.85,-0.25,-6.22%,4.21,3.83,1534700
WKHS,Workhorse Grp,3.57,0.14,4.08%,3.63,3.33,1490900
SLS,Sellas Life Sciences Group Inc,2.95,-0.71,-19.40%,3.61,2.9,1463000
ALC,Alcon Inc,58.5,1.02,1.77%,58.58,57.55,1455700
MGI,Moneygram Intl,2.16,-0.06,-2.70%,2.29,2.12,1426600
SNDL,Sundial Growers Inc,2.9,0.15,5.45%,2.95,2.67,1201800
CLSD,Clearside Biomedi,2.1,-0.1,-4.55%,2.16,1.95,1174700
SVRA,Savara Inc,3.87,0.41,11.85%,3.94,3.27,1164200
YRCW,YRC Worldwide,2.39,0.11,4.82%,2.41,2.26,1120700
REI,Ring Energy Inc,2.64,-0.23,-8.01%,2.87,2.63,1113900
ACRS,Aclaris Therapts,2.11,-0.07,-3.21%,2.23,2.03,1099100
MRNS,Marinus Pharma CS,2.12,0,0.00%,2.22,2.09,1080300
AVXL,Anavex Lf SC,3.1,0.11,3.68%,3.23,3,1049100
AGTC,Applied Genetic Tech,7.53,-0.32,-4.02%,8.1,7.41,1028700
PXLW,Pixelworks Inc,4.09,0.07,1.74%,4.35,3.96,1008300
BRPM,B. Riley Principal Merger Corp,10.17,0.03,0.30%,10.17,10.14,990200
BGG,Briggs & Stratton Corp,5.12,-0.04,-0.78%,5.28,5,983000
FLDM,Fluidigm Corp,3.54,0.09,2.61%,3.56,3.42,958800
BPT,BP Prudhoe Bay Royalty Trust,9.06,0.46,5.35%,9.2,8.7,948500
MR,Montage Resources Corp,5.57,-0.48,-7.93%,6.22,5.43,921700
OBSV,Obseva Sa,3.83,0.28,7.89%,3.93,3.65,905300
CEI,Camber Energy Inc,2.3,-0.32,-12.21%,2.57,2.28,899700
OCX,Oncocyte Corp,2.82,0.17,6.42%,3.05,2.73,891100
GNC,GNC Holdings Inc,2.26,0.02,0.89%,2.35,2.23,880200
OVID,Ovid Therapeutics Inc,3.49,-0.36,-9.35%,3.91,3.46,859000
ADMS,Adamas Pharma,5.5,0.31,5.97%,5.56,5.01,845300
KODK,Eastman Kodak,3.77,0.37,10.88%,3.8,3.41,820700
KALA,Kala Pharmaceuticals Inc,5.42,0.1,1.78%,5.78,5.18,800800
RADA,Rada Electr Inds Ltd,6.48,0.31,5.02%,6.74,6.21,791700
LOVE,The Lovesac Company,12.93,-1.48,-10.27%,14.6,12.5,782800
BCDA,Biocardia Inc,5.68,1.79,46.02%,6.75,3.95,757400
PHAS,Phasebio Pharmaceuticals Inc,6.01,-0.78,-11.41%,6.7,5.95,756200
ZYNE,Zynerba Pharma CS,5.72,0.1,1.78%,5.84,5.36,746900
CRNT,Ceragon Networks Ltd,2.15,-0.06,-2.71%,2.24,2.11,742600
TCON,Tracon Pharma,2.7,-0.2,-6.90%,2.95,2.52,712800
MREO,Mereo Biopharma Group Plc ADR,2.26,0.16,7.62%,2.98,2.2,704400
OESX,Orion Energy Syst,3.89,0.36,10.20%,3.97,3.53,671100
CNSP,Cns Pharmaceuticals Inc,4.59,-0.4,-8.02%,5.49,4.4,670700
NEPT,Neptune Wellness Solutions Inc,2.49,-0.13,-4.96%,2.61,2.45,668200
TIBR,Tiberius Acquisition Corp,10.57,-0.03,-0.33%,10.6,10.55,653400
JNCE,Jounce Therapeutics Inc,7.08,-0.35,-4.71%,7.43,6.93,652800
RTIX,Rti Surgical Inc,2.76,0.13,4.94%,2.76,2.6,623900
SMSI,Smith Micro Software,4.66,0.35,8.12%,4.69,4.32,610700
FOMX,Foamix Pharma Ord,3.94,-0.05,-1.25%,4.2,3.91,590800
APDN,Applied Dna Scns,4.27,0.26,6.48%,4.7,4.04,590500
SEAC,Sea Change Intl IN,4.05,0.11,2.79%,4.07,3.81,561100
AKER,Akers Biosciences,3.65,0.22,6.41%,3.7,3.38,543600
OSG,Overseas Shipholding Group Inc,2.15,0,0.00%,2.19,2.08,539900
AFMD,Affimed N.V.,2.68,-0.07,-2.55%,2.77,2.59,538000
PT,Pintec Technology Holdings Ltd ADR,2.17,-0.01,-0.46%,2.25,1.97,516400
BBW,Build-A-Bear Workshop,3.4,0.26,8.28%,3.41,3.1,504900
PERI,Perion Network Ltd,8.3,-0.14,-1.66%,8.52,8.03,503300
PRPL,Purple Innovation Inc,10.7,0.09,0.85%,10.73,10.11,489900
MEIP,Mei Pharma Inc,2.1,0.02,0.96%,2.13,1.98,480300
GENE,Genetic Tech Spn Ads,4.26,0.15,3.65%,4.38,4,475400
SLDB,Solid Biosciences Inc,3.65,0.06,1.53%,3.72,3.42,472000
APRN,Blue Apron Holdings Inc,5.04,-0.31,-5.79%,5.38,5,462100
FVE,Five Star Quality Care,5.24,0.46,9.62%,5.28,4.78,461100
FRBK,Republic First Bcp,3.91,0.01,0.26%,3.96,3.86,456000
APOP,Cellect Biotechnology Ltd,3.14,0.02,0.64%,3.22,2.92,454000
PYX,Pyxus International Inc,8.05,0.02,0.25%,8.35,7.96,453600
SBBP,Strongbridge Bio Ord,2.23,-0.08,-3.46%,2.33,2.19,436200
FBIO,Fortress Biotech Inc,2.41,-0.05,-2.23%,2.52,2.27,436200
SYBX,Synlogic Inc,2.57,-0.12,-4.46%,2.71,2.44,424500
ORN,Orion Group Holdings Inc,5.61,0.23,4.28%,5.64,5.33,424300
JMEI,Jumei International Holding Ltd,19,1.57,9.01%,19.1,18.53,419200
SEED,Origin Agritech Ltd,8.8,-1.44,-14.06%,10,7.9,414000
KRMD,Repro Med Sys Inc,5.54,-0.02,-0.36%,5.8,5.47,409300
FPRX,Five Prime Thera,4.96,-0.21,-4.06%,5.22,4.91,408600
XCUR,Exicure Inc,2.59,-0.14,-5.13%,2.8,2.56,407300
ARAY,Accuray Incorporated,2.74,0.12,4.58%,2.74,2.6,389800
IFRX,Fireman B.V.,3.94,-0.03,-0.76%,4.1,3.86,387000
CDTX,Cidara Thera,3.22,-0.28,-8.00%,3.44,3.17,383600
AIRI,Air Industries Group Inc,2.84,0.04,1.43%,2.9,2.75,382100
ZAGG,Zagg Inc,7.62,-0.05,-0.65%,7.72,7.57,381800
PTE,Polarityte Inc,3.42,0.11,3.32%,3.63,3.23,380800
CLUB,Town Sports International,2.8,0.16,6.06%,2.96,2.53,377000
PIRS,Pieris Pharma,3.33,-0.04,-1.19%,3.4,3.25,376300
CHMA,Chiasma Inc,4.74,0.07,1.50%,4.89,4.7,373900
NVCN,Neovasc Inc,3.16,0,-0.16%,3.25,3.05,373600
SSPK,Silver Spike Acquisition Corp Cl A,10,0.03,0.30%,10.02,9.98,363400
ASNA,Ascena Retail Group,6.41,-0.33,-4.90%,6.78,6.35,352200
GALT,Galectin Therapeutic,2.94,0.04,1.38%,3.07,2.92,336000
USAS,Americas Silver Corp,2.85,-0.08,-2.73%,2.93,2.83,334500
VERI,Veritone Inc,2.4,-0.09,-3.61%,2.5,2.37,328500
QUAD,Quad Graphics Inc,4.66,-0.07,-1.48%,4.82,4.63,327200
TWI,Titan International,3.43,-0.27,-7.30%,3.68,3.36,325600
HRZN,Horizon Technology F,13.63,0.26,1.94%,13.67,13.37,322200
ASPU,Aspen Group Inc,8.13,0.26,3.30%,8.42,7.78,305900
