stock_name,stock_symbol,stock_price,stock_volume
       Azimut Exploration Inc      ,         AZM.VN     ,       1.500      ,"       5,106,903      "
       GT Gold Corp      ,         GTT.VN     ,       1.120      ,"       1,938,324      "
       Acasti Pharma Inc      ,         ACST.VN     ,       1.210      ,"       1,505,898      "
       Xebec Adsorption Inc      ,         XBC.VN     ,       2.450      ,"       313,597      "
       Questor Technology Inc      ,         QST.VN     ,       5.100      ,"       148,770      "
       Lion One Metals Limited      ,         LIO.VN     ,       1.390      ,"       483,950      "
       Terrascend Corp      ,         TER.CN     ,       3.020      ,"       202,778      "
       Chemesis International Inc      ,         CSI.CN     ,       1.120      ,"       474,425      "
       Exro Technologies Inc      ,         XRO.CN     ,       0.570      ,"       923,750      "
       Khiron Life Sciences Corp      ,         KHRN.VN     ,       1.030      ,"       502,791      "
       Compass Gold Corporation      ,         CVB.VN     ,       0.325      ,"       1,493,246      "
       Reconnaissance Energy Africa Ltd      ,         RECO.VN     ,       0.730      ,"       650,880      "
       American Aires Inc.      ,         WIFI.CN     ,       0.590      ,"       795,609      "
       Skeena Resources Limited      ,         SKE.VN     ,       0.870      ,"       520,476      "
       Minera Alamos Inc      ,         MAI.VN     ,       0.260      ,"       1,692,072      "
       Medmen Enterprises Inc Class B Subordin      ,         MMEN.CN     ,       0.690      ,"       626,613      "
       Green Growth Brands      ,         GGB.CN     ,       0.650      ,"       650,802      "
       Antibe Therapeutics Inc      ,         ATE.VN     ,       0.510      ,"       806,880      "
       Bee Vectoring Technologies Intl Inc      ,         BEE.VN     ,       0.650      ,"       630,864      "
       Weedmd Inc      ,         WMD.VN     ,       0.780      ,"       474,330      "
       Core Gold Inc      ,         CGLD.VN     ,       0.265      ,"       1,303,010      "
       Kneat.com Inc      ,         KSI.VN     ,       2.790      ,"       118,521      "
       Galaxy Digital Holdings Ltd      ,         GLXY.VN     ,       1.320      ,"       235,089      "
       Transcanna Holdings Inc      ,         TCAN.CN     ,       1.640      ,"       183,278      "
       Isracann Biosciences Inc.      ,         IPOT.CN     ,       0.395      ,"       728,123      "
       NEO Lithium Corp      ,         NLC.VN     ,       0.690      ,"       393,835      "
       Liberty Health Sciences Inc      ,         LHS.CN     ,       0.620      ,"       406,597      "
       Drone Delivery Canada Corp      ,         FLT.VN     ,       0.900      ,"       270,268      "
       Aurania Resources Ltd      ,         ARU.VN     ,       3.930      ,"       61,648      "
       Vireo Health International Inc S.V.      ,         VREO.CN     ,       1.490      ,"       158,083      "
       Irving Resources Inc      ,         IRV.CN     ,       3.100      ,"       75,682      "
       Emerald Health Therapeutics Inc      ,         EMH.VN     ,       0.310      ,"       742,128      "
       Mota Ventures Corp.      ,         MOTA.CN     ,       0.530      ,"       428,950      "
       Millennial Lithium Corp      ,         ML.VN     ,       1.330      ,"       166,564      "
       Slang Worldwideinc      ,         SLNG.CN     ,       0.380      ,"       575,809      "
       Tetra Bio Pharma Inc      ,         TBP.VN     ,       0.430      ,"       496,549      "
       Talisker Resources Ltd      ,         TSK.CN     ,       0.340      ,"       619,742      "
       Blue Lagoon Resourcesinc      ,         BLLG.CN     ,       2.050      ,"       100,057      "
       Vizsla Resources Corp      ,         VZLA.VN     ,       0.870      ,"       234,080      "
       Versapay Corp      ,         VPY.VN     ,       2.670      ,"       75,750      "
       Heritage Cannabis Holdings Corp      ,         CANN.CN     ,       0.275      ,"       712,126      "
       Plus Products Inc      ,         PLUS.CN     ,       1.430      ,"       136,275      "
       Bitfarms Ltd      ,         BITF.VN     ,       0.610      ,"       310,613      "
       Cannabix Technologies Inc      ,         BLO.CN     ,       0.750      ,"       252,353      "
       Mason Graphite Inc      ,         LLG.VN     ,       0.285      ,"       633,814      "
       Quebec Precious Metals Corp      ,         CJC.VN     ,       0.350      ,"       509,691      "
       Enwave Corp      ,         ENW.VN     ,       1.580      ,"       111,822      "
       Canada Cobalt Works Inc      ,         CCW.VN     ,       0.650      ,"       268,406      "
       The Yield Growth Corp      ,         BOSS.CN     ,       0.275      ,"       625,676      "
       Africa Energy Corp      ,         AFE.VN     ,       0.340      ,"       503,500      "
       Aurion Resources Ltd      ,         AU.VN     ,       1.940      ,"       87,114      "
       Generation Mining Limited      ,         GENM.CN     ,       0.460      ,"       354,932      "
       Sirona Biochem Corp      ,         SBM.VN     ,       0.470      ,"       331,840      "
       Gold X Mining Corp.      ,         GLDX.VN     ,       2.200      ,"       68,304      "
       Flower One Holdings Inc      ,         FONE.CN     ,       0.780      ,"       192,650      "
       Martello Technologies Group Inc      ,         MTLO.VN     ,       0.315      ,"       474,904      "
       Arizona Metals Corp      ,         AMC.VN     ,       0.550      ,"       259,000      "
       Ely Gold Royalties Inc      ,         ELY.VN     ,       0.410      ,"       343,885      "
       Namaste Technologies Inc.      ,         N.VN     ,       0.385      ,"       365,470      "
       Shoal Point Energy Ltd      ,         SHP.CN     ,       0.280      ,"       493,550      "
       Body and Mind Inc      ,         BAMM.CN     ,       0.510      ,"       261,843      "
       Silver One Resources Inc      ,         SVE.VN     ,       0.295      ,"       448,909      "
       Sangoma Technologies Corp      ,         STC.VN     ,       2.460      ,"       53,832      "
       Tilt Holdings Inc      ,         TILT.CN     ,       0.350      ,"       375,617      "
       Nextech AR Solutions Corp      ,         NTAR.CN     ,       1.810      ,"       70,631      "
       Tudor Gold Corp      ,         TUD.VN     ,       0.730      ,"       169,700      "
       Jushi Holdings Inc. Cl B      ,         JUSH.CN     ,       1.820      ,"       66,200      "
       The Flowr Corporation      ,         FLWR.VN     ,       1.860      ,"       64,166      "
       48North Cannabis Corp      ,         NRTH.VN     ,       0.330      ,"       334,702      "
       Sol Global Investments      ,         SOL.CN     ,       0.470      ,"       233,192      "
       Bonterra Resources Inc      ,         BTR.VN     ,       1.760      ,"       61,475      "
       Mineral Mountain Resources Ltd      ,         MMV.VN     ,       0.355      ,"       289,858      "
       American Lithium Corp      ,         LI.VN     ,       0.265      ,"       387,595      "
       Redishred Capital Corp      ,         KUT.VN     ,       0.780      ,"       131,670      "
       Xphyto Therapeutics Corp      ,         XPHY.CN     ,       1.030      ,"       99,151      "
       Protech Home Medical Corp      ,         PTQ.VN     ,       0.910      ,"       108,680      "
       Poet Technologies Inc      ,         PTK.VN     ,       0.370      ,"       262,650      "
       Premier Health Group Inc      ,         PHGI.CN     ,       0.465      ,"       193,216      "
       Cantex Mine Development Corp      ,         CD.VN     ,       0.750      ,"       119,452      "
       Frankly Inc      ,         TLK.VN     ,       0.710      ,"       125,607      "
       Lumina Gold Corp      ,         LUM.VN     ,       0.650      ,"       135,707      "
       Quantum Numbers Corp      ,         QNC.VN     ,       0.270      ,"       325,889      "
       Kraken Robotics Inc      ,         PNG.VN     ,       0.610      ,"       144,164      "
       Lexagene Holdings Inc      ,         LXG.VN     ,       0.670      ,"       130,183      "
       Radient Technologies Inc      ,         RTI.VN     ,       0.360      ,"       241,224      "
       Standard Lithium Ltd      ,         SLL.VN     ,       0.890      ,"       96,823      "
       Btu Metals Corp      ,         BTU.VN     ,       0.360      ,"       237,800      "
       Discovery Metals Corp      ,         DSV.VN     ,       0.550      ,"       150,528      "
       Leucrotta Exploration Inc      ,         LXE.VN     ,       0.780      ,"       103,250      "
       Garibaldi Resources Corp      ,         GGI.VN     ,       0.810      ,"       98,229      "
       Conic Metals Corp      ,         NKL.VN     ,       0.410      ,"       191,061      "
       Mustgrow Biologics Corp      ,         MGRO.CN     ,       0.400      ,"       191,750      "
       Prime Mining Corp      ,         PRYM.VN     ,       0.365      ,"       189,100      "
       Greenlane Renewables Inc      ,         GRN.VN     ,       0.415      ,"       161,000      "
       Rjk Explorations Ltd Cl.A Sv      ,         RJX-A.VN     ,       0.265      ,"       242,672      "
       White Gold Corp      ,         WGO.VN     ,       1.030      ,"       60,875      "
       Captiva Verde Land Corp      ,         PWR.CN     ,       0.350      ,"       178,313      "
       Orca Gold Inc      ,         ORG.VN     ,       0.330      ,"       187,250      "
       Fiore Gold Ltd.      ,         F.VN     ,       0.540      ,"       110,151      "
       Falco Resources Ltd      ,         FPC.VN     ,       0.315      ,"       184,140      "
   Name  ,   Symbol  ,   Last  ,   Volume  
