Symbol,Name,Stock_Price,Change,Pc_change,High,Low,Volume
NIO,Nio Inc,3.7,0.19,5.41%,3.73,3.52,59974703
SWN,Southwestern Energy Company,2.05,-0.07,-3.30%,2.11,1.96,29136799
PLUG,Plug Power Inc,4.1,-0.04,-0.97%,4.42,4.06,24583701
EQT,Eqt Corp,8.37,-0.47,-5.32%,9.1,8,13158001
AUY,Yamana Gold,3.59,-0.13,-3.49%,3.7,3.59,12485301
ENPH,Enphase Energy Inc,30.79,0.12,0.39%,31.89,30.53,12390500
BLDP,Ballard Power Sys,9.81,0.74,8.16%,10.93,9.52,12257100
SDC,Smiledirectclub Inc,10.2,0.98,10.63%,10.52,9.25,11945301
RRC,Range Resources Corp,4.55,-0.28,-5.80%,4.74,4.43,11662200
RIG,Transocean Inc,6.24,0.01,0.16%,6.26,6.02,11222300
APHA,Aphria Inc,5.45,0.51,10.32%,5.49,4.81,10360800
BBBY,Bed Bath & Beyond,15,0.44,3.06%,15.03,14.31,9943101
SPCE,Virgin Galactic Holdings Inc,13.7,0.87,6.78%,14.11,13,9687101
X,United States Steel Corp,10.72,0,0.00%,10.92,10.57,9402000
OAS,Oasis Petroleum Inc,3.13,-0.11,-3.40%,3.26,3.1,9382400
CLF,Cleveland-Cliffs Inc,7.6,0,0.00%,7.75,7.51,8518000
HL,Hecla Mining Company,3.05,-0.03,-0.97%,3.1,3,7902000
FIT,Fitbit Inc,6.51,-0.05,-0.76%,6.61,6.49,7720700
TERP,Terraform Power Inc,17.16,1.56,10.00%,17.29,17.08,7589400
ENDP,Endo Int'l Plc,4.74,0.19,4.18%,4.76,4.35,7273800
COT,Cott Corp,13.64,-0.48,-3.40%,13.7,13.33,7107500
CDEV,Centennial Resource Development Inc,4.4,-0.02,-0.45%,4.55,4.3,6952700
KOS,Kosmos Energy Ltd,6.26,0,0.00%,6.36,6.17,6922900
GRPN,Groupon Cl A,2.64,0.14,5.60%,2.64,2.45,6595500
NBR,Nabors Industries,3.01,-0.02,-0.66%,3.07,2.94,6483200
NKTR,Nektar Therapeutics,27.4,0.48,1.78%,28.6,25.67,6408400
AA,Alcoa Corp,19.61,0.16,0.82%,19.86,19.15,6207200
AEO,American Eagle Outfitters,14.6,0.45,3.18%,14.8,14.15,6169600
QRTEA,Qurate Retail Group,8.82,0.32,3.76%,8.86,8.48,5684800
HMY,Harmony Gold Mining Co. Ltd,3.52,-0.18,-4.86%,3.66,3.51,5392700
SPWR,Sunpower Corp,8.41,0.68,8.72%,8.52,7.71,5276400
MDRX,Allscripts Hlthcare,9.51,-0.04,-0.42%,9.57,9.4,5189200
NVTA,Invitae Corp,18.38,1.66,9.93%,18.79,17.5,5166700
DERM,Dermira Inc,19.19,0.03,0.16%,19.31,19.11,5129800
I,Intelsat S.A.,7.83,0.05,0.64%,7.87,7.41,5040700
TLRY,Tilray Inc,17.37,1.82,11.70%,17.46,15.26,5017800
PTLA,Portola Pharma,13.84,-0.92,-6.23%,14.77,13.76,4999800
ODP,Office Depot,2.38,0.02,0.85%,2.38,2.32,4916700
NYMT,New York Mtge Trust,6.3,0.04,0.64%,6.3,6.25,4817800
IMMU,Immunomedics Inc,19.3,-0.3,-1.51%,19.55,17.66,4772300
DDD,3D Systems Corp,11.22,1.23,12.31%,11.33,10.6,4725400
CISN,Cision Ltd,9.97,-0.01,-0.10%,9.98,9.97,4568100
FOLD,Amicus Therapeutics,8.93,-0.53,-5.66%,9.55,8.87,4527600
PSTG,Pure Storage Inc,18.84,0.07,0.37%,19.05,18.76,4460700
CDE,Coeur Mining Inc,6.43,-0.12,-1.83%,6.51,6.24,4396100
QD,Qudian Inc ADR,4.39,0.04,0.92%,4.43,4.3,4357100
BTG,B2Gold Corp,3.88,-0.08,-2.02%,3.95,3.87,4356200
CLDR,Cloudera Inc,11.74,-0.07,-0.59%,11.9,11.7,4349000
AG,First Majestic Silver,10.63,-0.38,-3.45%,10.95,10.53,4293400
IAG,Iamgold Corp,3.29,-0.14,-4.08%,3.42,3.29,4280900
ENLC,Enlink Midstream Llc,5.42,0.12,2.26%,5.51,5.17,4019200
DHT,Dht Holdings,7.8,-0.09,-1.14%,8.01,7.64,4002200
LSCC,Lattice Semicond,22.07,0.84,3.96%,22.37,21.42,4000100
IRWD,Ironwood Pharmaceuti,12.53,-0.13,-1.03%,12.62,12.34,3970700
