stock_name,stock_symbol,stock_price,stock_volume
       Smiledirectclub Inc      ,         SDC     ,       11.70      ,"       33,561,199      "
       Tilray Inc      ,         TLRY     ,       21.22      ,"       14,194,400      "
       Restoration Hardware Holdings      ,         RH     ,       223.36      ,"       1,345,691      "
       Shake Shack Inc      ,         SHAK     ,       64.10      ,"       4,263,853      "
       Nio Inc      ,         NIO     ,       3.76      ,"       55,220,619      "
       Enphase Energy Inc      ,         ENPH     ,       30.20      ,"       6,406,500      "
       Nektar Therapeutics      ,         NKTR     ,       27.96      ,"       6,736,300      "
       United States Steel Corp      ,         X     ,       10.91      ,"       16,742,542      "
       STI Inc      ,         STAG     ,       31.50      ,"       4,791,249      "
       Cloudera Inc      ,         CLDR     ,       11.58      ,"       12,512,360      "
       Weight Watchers International Inc      ,         WW     ,       42.19      ,"       3,265,500      "
       Wesco International      ,         WCC     ,       56.40      ,"       2,399,499      "
       Thor Industries      ,         THO     ,       77.55      ,"       1,726,343      "
       Grubhub Inc      ,         GRUB     ,       54.68      ,"       2,380,226      "
       Audentes Therapeutics Inc      ,         BOLD     ,       59.97      ,"       2,152,300      "
       Footlocker Inc      ,         FL     ,       39.10      ,"       3,017,823      "
       Bed Bath & Beyond      ,         BBBY     ,       15.39      ,"       7,602,600      "
       Spirit Realty Capital Inc      ,         SRC     ,       50.09      ,"       2,331,499      "
       Pdc Energy Inc      ,         PDCE     ,       25.16      ,"       4,579,000      "
       Six Flags Entertainment Corp      ,         SIX     ,       35.67      ,"       3,221,641      "
       Virgin Galactic Holdings Inc      ,         SPCE     ,       13.97      ,"       7,588,894      "
       The Simply Good Foods Company      ,         SMPL     ,       24.38      ,"       4,347,300      "
       Anixter International Inc      ,         AXE     ,       98.67      ,"       1,055,592      "
       Gw Pharma ADR      ,         GWPH     ,       118.55      ,"       875,800      "
       Dermira Inc      ,         DERM     ,       19.13      ,"       5,406,000      "
       Bluebird Bio      ,         BLUE     ,       92.08      ,"       1,079,400      "
       Ollies Bargain CS      ,         OLLI     ,       54.24      ,"       1,824,500      "
       Msc Industrial Direct Company      ,         MSM     ,       77.20      ,"       1,253,998      "
       Sage Therapeutic Com      ,         SAGE     ,       76.68      ,"       1,239,200      "
       Chemours Company      ,         CC     ,       18.20      ,"       5,113,565      "
       Inmode Ltd      ,         INMD     ,       41.49      ,"       2,225,700      "
       Tandem Diabetes Care      ,         TNDM     ,       67.35      ,"       1,352,900      "
       Karuna Therapeutics Inc      ,         KRTX     ,       84.87      ,"       1,064,400      "
       Cracker Barrel      ,         CBRL     ,       162.29      ,"       556,600      "
       Momenta Pharma      ,         MNTA     ,       25.36      ,"       3,546,900      "
       Global Blood Ther      ,         GBT     ,       84.31      ,"       1,047,300      "
       Alcoa Corp      ,         AA     ,       20.37      ,"       4,218,982      "
       Pan Amer Silver Corp      ,         PAAS     ,       22.52      ,"       3,812,600      "
       Texas Capital Bncsh      ,         TCBI     ,       55.85      ,"       1,504,100      "
       Canada Goose Holdings Inc Subordinate Voting Sh      ,         GOOS     ,       34.50      ,"       2,386,188      "
