Symbol,Name,Stock_Price,Change,Pc_change,High,Low,Volume
FCEL,Fuelcell Energy Inc,2.05,-0.17,-7.66%,2.17,1.98,25196102
WLL,Whiting Petroleum Corp,6.25,-0.43,-6.44%,6.64,6.13,13990001
CPE,Callon Petroleum Company,4.11,-0.09,-2.14%,4.25,4.06,12626101
VRAY,Viewray Inc,2.86,-0.89,-23.87%,3.75,2.82,11660000
SRNE,Sorrento Therpt,4.18,-0.58,-12.18%,4.49,3.91,11416199
PRMW,Primo Water Corp,13.91,2.82,25.43%,14,13.75,11396000
AR,Antero Resources Corp,2.35,-0.02,-0.84%,2.38,2.26,9778300
GPOR,Gulfport Energy Corp,2.15,-0.18,-7.73%,2.35,2.1,7584000
RAD,Rite Aid Corp,11.66,-0.38,-3.16%,12.16,11.41,7034600
CLVS,Clovis Oncology Inc,8.7,-0.49,-5.33%,9.4,8.57,6344600
QEP,Qep Resources,3.95,-0.12,-2.95%,4.1,3.92,5925800
GPRO,Gopro Inc Cl A,4.26,-0.01,-0.23%,4.28,4.07,5603700
HOME,At Home Group Inc,5.64,0.56,11.02%,5.88,5.32,5386500
AKS,AK Steel Holding Corp,2.97,-0.01,-0.34%,3.05,2.95,5351100
NK,Nantkwest Inc CS,6.8,3.24,91.01%,6.8,3.46,4435000
MNK,Mallinckrodt Plc,3.32,0.15,4.73%,3.37,3.13,4404600
LPI,Laredo Petroleum Holdings Inc,2.58,-0.07,-2.64%,2.63,2.51,4395400
NAT,Nordic American Tanker Shipping Ltd,4.5,-0.15,-3.23%,4.67,4.43,4000000
OGI,Organigram Hlds Inc,2.23,0.21,10.40%,2.27,1.89,3681100
GME,Gamestop Corp,5.43,0,0.00%,5.61,5.33,3634000
KDMN,Kadmon Holdings Llc,4.35,-0.15,-3.33%,4.55,4.05,3214800
ACHN,Achillion Pharmaceuticals,6.06,-0.09,-1.46%,6.18,6.05,3175500
AMRS,Amyris Inc,2.85,-0.1,-3.39%,3.09,2.81,3046900
BCRX,Biocryst Pharma Inc,2.85,-0.32,-10.09%,3.14,2.82,3027500
WTI,W&T Offshore,5.06,-0.07,-1.36%,5.12,4.85,2961700
AMC,Amc Entertainment Holdings Inc,6.56,0.09,1.39%,6.64,6.42,2840500
CRC,California Resources Corp,8.37,-0.01,-0.12%,8.45,7.65,2807400
LTS,Ladenburg Thalmann Financial Inc,3.48,0.01,0.29%,3.49,3.47,2741700
